uniprot,pdb,name,resolution,method,ok,reason,n_ca,n_chains,n_span,n_dropped,contam_flag,size_cv,c0_invnm,A_foot_nm2,r_out,r_in,r_mid
O00483,5Z62,Cytochrome c oxidase subunit NDUFA4,3.6,EM,True,,1855,1.0,11.0,10.0,True,0.0,0.0085207157312397,10.840127585000005,18.08262364660965,17.7027583855676,18.575574763110616
P13073,5Z62,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",3.6,EM,True,,1855,1.0,11.0,10.0,True,0.0,0.0085207157312397,10.840127585000005,18.08262364660965,17.7027583855676,18.575574763110616
P21283,7U4T,V-type proton ATPase subunit C 1,3.6,EM,True,,9610,1.0,15.0,14.0,True,0.0,0.0153910865068122,8.720893114999999,16.788995670041892,16.17355517835105,16.661171912133472
P21281,7U4T,"V-type proton ATPase subunit B, brain isoform",3.6,EM,True,,9610,1.0,15.0,14.0,True,0.0,0.0153910865068122,8.720893114999999,16.788995670041892,16.17355517835105,16.661171912133472
T2GB49,5XMJ,fumarate reductase flavoprotein subunit,3.6,X-ray,True,,2148,2.0,2.0,0.0,False,0.0,0.0322051513690626,10.20573444,18.31506504841801,16.921960270036262,18.023834686376794
T2GAT5,5XMJ,fumarate reductase respiratory complex,3.6,X-ray,True,,2148,2.0,2.0,0.0,False,0.0,0.0322051513690626,10.20573444,18.31506504841801,16.921960270036262,18.023834686376794
O15244,8ET9,OCT2,3.61,EM,True,,517,1.0,1.0,0.0,False,0.0,0.0155247087214712,8.745319695,16.66925105045017,16.047598655602524,16.684488954583873
P32876,6ZBB,"ATP synthase F(0) complex subunit C1, mitochondrial",3.61,EM,True,,1328,8.0,10.0,2.0,True,0.006,-0.0733384902606935,11.963744885,13.66221337645164,17.09701644739303,19.51455424209392
Q96F81,7E2G,"Protein dispatched homolog 1,Protein dispatched homolog 1",3.61,EM,True,,901,1.0,1.0,0.0,False,0.0,-0.0026047709896972,10.311927185,17.43107712375049,17.544336918576168,18.11736285609163
Q8TDD5,6AYF,Mucolipin-3,3.62,EM,True,,1904,4.0,4.0,0.0,False,0.0,0.0036093447037927,44.01383037499999,38.20172676697253,37.877492248497816,37.429984420486896
Q6PCB8,7YR5,Embigin,3.63,EM,True,,622,1.0,2.0,1.0,True,0.0,-0.0199211289954184,7.99853698,15.15245327515669,15.915332049347942,15.956231998002036
E6K399,8GI1,Accessory protein Csx28,3.65,EM,False,no_TM_span,1152,0.0,,,,,,,,,
A0A0F7J7J8,6R69,Flagellar biosynthetic protein FliQ,3.65,EM,True,,1629,1.0,5.0,4.0,True,0.0,0.3603999866394917,0.902799775,7.01015980575053,2.373376580141621,5.360691127336118
Q9WVL3,6UKN,Solute carrier family 12 member 7,3.65,EM,True,,536,1.0,1.0,0.0,False,0.0,-0.026458225147198,10.624453185,16.66897615397846,17.83672731229955,18.38985721554782
P83698,1P7B,integral membrane channel and cytosolic domains,3.65,X-ray,True,,1032,4.0,4.0,0.0,False,0.0,0.0366789738194511,10.467989430000005,17.48275394975584,15.875867754148278,18.253943475414907
G5QE81,6R69,Flagellar biosynthetic protein FliP,3.65,EM,True,,1629,1.0,5.0,4.0,True,0.0,0.3603999866394917,0.902799775,7.01015980575053,2.373376580141621,5.360691127336118
Q13255,7DGE,Metabotropic glutamate receptor 1,3.65,EM,True,,1814,2.0,2.0,0.0,False,0.0,0.0031219101819106,18.361517075,23.66762552748108,23.486486934513778,24.17571593625508
Q5GH54,7P14,XK-related protein,3.66,EM,True,,455,1.0,1.0,0.0,False,0.0,-0.0529950503770162,7.283982004999999,13.945108665543282,15.881780545749027,15.22682988338784
K3YRE7,8ONT,NRAMP related aluminium transporter,3.66,EM,True,,558,1.0,1.0,0.0,False,0.0,0.0269602867271612,11.639865435,20.01305627018732,18.767581908760445,19.248595382025904
Q63472,6PBY,Potassium voltage-gated channel subfamily H member 1,3.67,EM,True,,3268,4.0,4.0,0.0,False,0.0,-0.0005845730240321,43.59670497499999,36.80934029970128,36.86160421111197,37.252197517167424
Q14832,7WIH,Metabotropic glutamate receptor 3,3.68,EM,True,,1482,2.0,2.0,0.0,False,0.0,0.0191255202638687,17.36872634,23.121833244843938,22.04255468555185,23.51305446861978
A0A0Y0GRS3,7X2Q,Sugiol synthase,3.68,X-ray,False,no_TM_span,467,0.0,,,,,,,,,
P03923,5XTD,NADH-ubiquinone oxidoreductase chain 6,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P03915,5XTD,NADH-ubiquinone oxidoreductase chain 5,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
A0A097J792,5X33,"LTB4 receptor,Lysozyme,LTB4 receptor",3.7,X-ray,True,,271,1.0,1.0,0.0,False,0.0,0.010727253198744,4.925814615,12.397691165456378,12.075314299887834,12.52172308216047
A0A097J809,6E67,"Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera",3.7,X-ray,True,,476,1.0,1.0,0.0,False,0.0,0.0658769046021621,4.7780337500000005,13.269920118425468,11.32010202363159,12.332458713268862
S5U4U1,7B0N,NADH-ubiquinone oxidoreductase chain 4L,3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
P03905,5XTD,NADH-ubiquinone oxidoreductase chain 4,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
Q8U0Z8,6CFW,Probable membrane-bound hydrogenase subunit mbhJ,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
Q8U104,6CFW,MBH subunit,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
A0A371CB65,7B0N,Complex I-B14.7,3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
A0A371C0F2,7B0N,Subunit NB2M of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
A0A371C2D0,7B0N,Subunit NUPM of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
A0A371C5F3,7B0N,Subunit NUFM of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
Q9Y6M9,5XTD,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
Q9Y6K0,8GYX,Choline/ethanolaminephosphotransferase 1,3.7,EM,True,,760,2.0,2.0,0.0,False,0.0,-0.0465422298062585,23.672312285,25.432012380821355,28.498236053421586,27.45019313073316
O96000,5XTD,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
S4Z232,7EU3,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic",3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
O95178,5XTD,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O95167,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O98691,7EU3,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic",3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
O98692,7EU3,"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic",3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
Q9Y5J7,7CGP,Mitochondrial import inner membrane translocase subunit Tim9,3.7,EM,True,,1569,1.0,2.0,1.0,True,0.0,0.1480359134311838,0.1547631100000001,2.2569916105302124,1.4684273003659256,2.2195185948657765
O98693,7EU3,"NAD(P)H-quinone oxidoreductase subunit 6, chloroplastic",3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
Q9Y5U4,6M49,Insulin-induced gene 2 protein,3.7,EM,True,,420,1.0,2.0,1.0,True,0.0,0.0193789651888076,6.646115845,13.523230331127872,12.846756748409248,14.5448423098576
O95139,5XTD,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O95298,5XTD,NADH dehydrogenase [ubiquinone] 1 subunit C2,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O95182,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O95168,5XTD,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O95169,5XTD,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O95299,5XTD,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
Q86Y39,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
Q9BSF4,7CGP,Mitochondrial import inner membrane translocase subunit Tim29,3.7,EM,True,,1569,1.0,2.0,1.0,True,0.0,0.1480359134311838,0.1547631100000001,2.2569916105302124,1.4684273003659256,2.2195185948657765
P0A855,7NST,Tol-Pal system protein TolB,3.7,EM,True,,1715,4.0,4.0,0.0,False,0.066,-0.006032024942683,33.93130752500001,32.562983558279555,33.03875649188972,32.8643737751839
O50330,7OIU,TrwK protein,3.7,EM,True,,1683,3.0,3.0,0.0,False,0.095,-0.0100142427347545,1.534982545,5.944292487796452,6.112291272487767,6.9899936995183
O50335,7OIU,TrwG protein,3.7,EM,True,,1683,3.0,3.0,0.0,False,0.095,-0.0100142427347545,1.534982545,5.944292487796452,6.112291272487767,6.9899936995183
O43674,5XTD,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
Q9Y584,7CGP,Mitochondrial import inner membrane translocase subunit Tim22,3.7,EM,True,,1569,1.0,2.0,1.0,True,0.0,0.1480359134311838,0.1547631100000001,2.2569916105302124,1.4684273003659256,2.2195185948657765
Q7S4I4,6DT0,Mitochondrial calcium uniporter,3.7,EM,True,,945,4.0,4.0,0.0,False,0.002,-0.0792706121762233,8.797932345,14.129088666082698,17.312837701920916,16.734601409623238
Q9Y5J6,7CGP,Mitochondrial import inner membrane translocase subunit Tim10 B,3.7,EM,True,,1569,1.0,2.0,1.0,True,0.0,0.1480359134311838,0.1547631100000001,2.2569916105302124,1.4684273003659256,2.2195185948657765
O75251,5XTD,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
Q7GT16,7EU3,NAD(P)H-quinone oxidoreductase subunit J,3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
O75438,5XTD,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P0CC72,7EU3,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
O75306,5XTD,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O75380,5XTD,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O75489,5XTD,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O34741,7TCH,Bacitracin export permease protein BceB,3.7,EM,True,,1135,1.0,1.0,0.0,False,0.0,-0.0162778553752255,9.055959560000002,15.730401823852189,16.39368766721229,16.978225634113276
Q9UUU2,7B0N,Subunit NUBM of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
O43181,5XTD,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P19404,5XTD,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P17568,5XTD,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
A0A7T7JN26,7EU3,NAD(P)H-quinone oxidoreductase subunit F,3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
O43676,5XTD,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O43677,5XTD,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O43678,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O43920,5XTD,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O50329,7OIU,TrwM protein,3.7,EM,True,,1683,3.0,3.0,0.0,False,0.095,-0.0100142427347545,1.534982545,5.944292487796452,6.112291272487767,6.9899936995183
P17787,6CNJ,Neuronal acetylcholine receptor subunit beta-2,3.7,EM,True,,1814,5.0,5.0,0.0,False,0.016,0.0459887884791102,24.249960004999995,27.915112213495483,24.848606434742763,27.78309199702766
Q6ZY24,7B0N,Subunit NB5M of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
O03060,7EU3,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic",3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
O00217,5XTD,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P23942,7ZW1,Peripherin-2,3.7,EM,True,,760,2.0,2.0,0.0,False,0.002,-0.018378277856215,7.566844035,14.80310087606392,15.487640370638305,15.519669015643812
P15319,6CD2,Chaperone protein PapD,3.7,X-ray,True,,1258,1.0,1.0,0.0,False,0.0,-0.0161076736351918,15.863827835,22.194877276652186,23.063583876367066,22.471344491592177
O15239,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
O14561,5XTD,"Acyl carrier protein, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
A5FJ36,6H3J,Plug,3.7,EM,True,,2511,1.0,2.0,1.0,True,0.0,-0.0193009929965745,41.10976111499999,36.71381239222613,38.3894821632284,36.17408379151913
P62072,7CGP,Mitochondrial import inner membrane translocase subunit Tim10,3.7,EM,True,,1569,1.0,2.0,1.0,True,0.0,0.1480359134311838,0.1547631100000001,2.2569916105302124,1.4684273003659256,2.2195185948657765
Q9P0J0,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P51970,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P49821,5XTD,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
F2CTW7,7EU3,Photosynthetic NDH subunit of subcomplex L2,3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
I6U847,6CFW,MBH subunit,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6U851,6CFW,NADH-plastoquinone oxidoreductase subunit,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6UQL1,6CFW,Monovalent cation/H+ antiporter subunit G,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6UQL5,6CFW,Monovalent cation/H+ antiporter subunit D,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6UQM0,6CFW,Mbh13 NADH dehydrogenase subunit,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6UZT7,6CFW,Monovalent cation/H+ antiporter subunit F,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6UZU1,6CFW,Monovalent cation/H+ antiporter subunit C,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6V287,6CFW,MBH subunit,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
Q9ET38,3X29,Claudin-19,3.7,X-ray,True,,283,1.0,1.0,0.0,False,0.0,0.030774570291923,1.785716355,7.287425857199851,6.730580579441093,7.539304806920752
Q9FF53,6QIM,Probable aquaporin PIP2-4,3.7,X-ray,True,,974,4.0,4.0,0.0,False,0.002,-0.0160928506919886,26.579577465000003,27.89748836132013,29.02091139407689,29.08701132412438
P31780,6I1X,Type II secretion system protein D,3.7,EM,True,,7290,15.0,15.0,0.0,False,0.0,-0.0706800759597433,93.815775425,54.912689232090806,64.1825081230959,54.64658159279116
I6TXN1,6CFW,Monovalent cation/H+ antiporter subunit E,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
I6TXN5,6CFW,Monovalent cation/H+ antiporter subunit B,3.7,EM,True,,2530,1.0,10.0,9.0,True,0.0,0.0136858832118421,14.642429805,20.008132180987204,19.29901875140792,21.58895589111177
P29992,7TRY,Guanine nucleotide-binding protein subunit alpha-11,3.7,EM,True,,1211,1.0,1.0,0.0,False,0.0,0.0287931712202787,5.353888110000001,13.06764913908857,12.165537158558577,13.054483961209844
Q9UI09,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
P28331,5XTD,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
A0QQ39,6LAR,ESX-3 secretion system ATPase EccB3,3.7,EM,True,,3020,4.0,8.0,4.0,True,0.017,0.0017089213875215,72.10478342,48.03489975835885,47.83840976914082,47.90789643026197
A0QQ40,6LAR,ESX-3 secretion system protein EccC3,3.7,EM,True,,3020,4.0,8.0,4.0,True,0.017,0.0017089213875215,72.10478342,48.03489975835885,47.83840976914082,47.90789643026197
F2DWH9,7EU3,Photosynthetic NDH subunit of subcomplex B5,3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
A0QQ46,6LAR,ESX-3 secretion system protein EccD3,3.7,EM,True,,3020,4.0,8.0,4.0,True,0.017,0.0017089213875215,72.10478342,48.03489975835885,47.83840976914082,47.90789643026197
A0QQ48,6LAR,ESX-3 secretion system protein EccE3,3.7,EM,True,,3020,4.0,8.0,4.0,True,0.017,0.0017089213875215,72.10478342,48.03489975835885,47.83840976914082,47.90789643026197
P42027,7A23,PSST,3.7,EM,True,,7354,3.0,15.0,12.0,True,0.107,0.0072107808551348,68.21716867500001,44.72383726476716,43.91740954521224,46.5984969679492
A0A161CFW5,8AP9,ATP synthase gamma subunit,3.7,EM,True,,1285,10.0,10.0,0.0,False,0.0,-0.0252149117201631,14.298007639999998,20.274002722753668,21.565018410897025,21.333535066986364
F2D138,7EU3,NAD(P)H-quinone oxidoreductase subunit M,3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
F6SG69,7S8U,Solute carrier family 15 member 1,3.7,EM,True,,667,1.0,1.0,0.0,False,0.0,-0.0319611389976577,9.03963894,15.974971415960445,17.27614157716097,16.962919684222886
P43681,6CNJ,Neuronal acetylcholine receptor subunit alpha-4,3.7,EM,True,,1814,5.0,5.0,0.0,False,0.016,0.0459887884791102,24.249960004999995,27.915112213495483,24.848606434742763,27.78309199702766
Q9M9B4,7A23,PDSW,3.7,EM,True,,7354,3.0,15.0,12.0,True,0.107,0.0072107808551348,68.21716867500001,44.72383726476716,43.91740954521224,46.5984969679492
P69378,7EU3,"NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic",3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
A0A1D8ND94,7B0N,Subunit NIAM of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
A0A1D8NDL1,7B0N,Subunit NI2M of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
A0A1D8NKB4,7B0N,Subunit NUXM of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
A0A1D8NJR0,7B0N,subunit NI9M of protein NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
F2CUR7,7EU3,NAD(P)H-quinone oxidoreductase subunit L,3.7,EM,True,,5399,1.0,10.0,9.0,True,0.0,-0.0428413898738917,32.985097120000006,28.03056046732856,31.36220563181398,32.402904977838766
Q9FMV1,7A23,CAL1,3.7,EM,True,,7354,3.0,15.0,12.0,True,0.107,0.0072107808551348,68.21716867500001,44.72383726476716,43.91740954521224,46.5984969679492
A0A1D8N3C8,7B0N,Subunit NB4M of protein NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
Q9FX83,7A23,TYKY,3.7,EM,True,,7354,3.0,15.0,12.0,True,0.107,0.0072107808551348,68.21716867500001,44.72383726476716,43.91740954521224,46.5984969679492
Q53H12,7CGP,"Acylglycerol kinase, mitochondrial",3.7,EM,True,,1569,1.0,2.0,1.0,True,0.0,0.1480359134311838,0.1547631100000001,2.2569916105302124,1.4684273003659256,2.2195185948657765
P56556,5XTD,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,3.7,EM,True,,8191,1.0,20.0,19.0,True,0.0,-0.0131627988168429,31.749890694999998,30.38337212602972,31.38765409668509,31.79041379641549
A0A1D8N596,7B0N,Subunit NIDM of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM,True,,8092,1.0,20.0,19.0,True,0.0,0.0436655192870742,31.293304475,33.184904429334914,29.877398377210888,31.561001545819103
