uniprot,entity,pdb,name,resolution,method
A0A1D8N7X0,7B0N_17,7B0N,Subunit NUYM of NADH:Ubiquinone Oxidoreductase (Complex I),3.7,EM
P03897,5XTD_33,5XTD,NADH-ubiquinone oxidoreductase chain 3,3.7,EM
P03901,5XTD_34,5XTD,NADH-ubiquinone oxidoreductase chain 4L,3.7,EM
S5U4R9,7B0N_14,7B0N,NADH dehydrogenase subunit 2,3.7,EM
S5TMS4,7B0N_1,7B0N,NADH-ubiquinone oxidoreductase chain 3,3.7,EM
S5U3V2,7B0N_8,7B0N,NADH-ubiquinone oxidoreductase chain 1,3.7,EM
S5U3X7,7B0N_10,7B0N,NADH-ubiquinone oxidoreductase chain 6,3.7,EM
P03886,5XTD_41,5XTD,NADH-ubiquinone oxidoreductase chain 1,3.7,EM
P03891,5XTD_32,5XTD,NADH-ubiquinone oxidoreductase chain 2,3.7,EM
Q12809,5VA1_1,5VA1,Potassium voltage-gated channel subfamily H member 2,3.7,EM
S5TMP9,7B0N_13,7B0N,NADH-ubiquinone oxidoreductase chain 4,3.7,EM
A8DS70,6O2N_1,6O2N,ADP-ribosyltransferase binding component,3.7,EM
Q12770,6M49_2,6M49,"Sterol regulatory element-binding protein cleavage-activating protein,Sterol regulatory element-binding protein cleavage-activating protein",3.7,EM
S5TF58,7B0N_12,7B0N,NADH-ubiquinone oxidoreductase chain 5,3.7,EM
Q8U0Z7,6CFW_12,6CFW,Membrane-bound hydrogenase subunit beta,3.7,EM
W8L932,6Q53_2,6Q53,Light-harvesting protein B:800-850 subunit beta,3.701,X-ray
A0A5S8WF94,6Q53_1,6Q53,light-harvesting protein subunit alpha,3.701,X-ray
Q14957,8E93_2,8E93,"Glutamate receptor ionotropic, NMDA 2C",3.71,EM
Q1LCD8,4K0E_1,4K0E,Heavy metal cation tricomponent efflux pump ZneA(CzcA-like),3.713,X-ray
O82238,7AR7_29,7AR7,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-A,3.72,EM
Q5XHB4,7Y5H_1,7Y5H,Zinc transporter 8,3.72,EM
P50443,7XLM_1,7XLM,Sulfate transporter,3.73,EM
A0A0H2UQH5,7PAF_2,7PAF,LicB protein,3.75,EM
Q98SW5,6D32_1,6D32,"Smoothened,Soluble cytochrome b562,Smoothened",3.751,X-ray
A0A0H3KP92,5KHS_1,5KHS,Putative RND superfamily efflux pump membrane protein,3.758,X-ray
Q8QFV0,5U76_1,5U76,Potassium channel subfamily T member 1,3.76,EM
E1B792,5TQQ_1,5TQQ,Chloride channel protein,3.76,EM
P28222,6G79_4,6G79,5-hydroxytryptamine receptor 1B,3.78,EM
P19573,7QBA_4,7QBA,Nitrous-oxide reductase,3.78,EM
P04578,7AEJ_1,7AEJ,"Envelope glycoprotein gp160,Envelope glycoprotein gp160",3.8,X-ray
Q12349,6CP3_10,6CP3,"ATP synthase subunit H, mitochondrial",3.8,EM
Q9HW00,8BH1_1,8BH1,Probable peptidoglycan glycosyltransferase FtsW,3.8,EM
Q9HVZ6,8BH1_4,8BH1,Cell division protein FtsL,3.8,EM
P09457,6CP3_2,6CP3,"ATP synthase subunit 5, mitochondrial",3.8,EM
Q9HXZ6,8BH1_5,8BH1,Cell division protein FtsB,3.8,EM
P08190,4J3O_1,4J3O,Protein FimG,3.8,X-ray
Q9BUN8,7CZB_1,7CZB,Derlin-1,3.8,EM
P0C247,3J5Q_2,3J5Q,Kappa-theraphotoxin-Cg1a 1,3.8,EM
P08189,4J3O_4,4J3O,Protein FimF,3.8,X-ray
Q8CD54,6KG7_1,6KG7,Piezo-type mechanosensitive ion channel component 2,3.8,EM
Q74D23,6VK9_1,6VK9,Geopilin domain 1 protein,3.8,EM
A0A1S3TZB2,7JRP_12,7JRP,Cytochrome c oxidase subunit 2,3.8,EM
Q16348,7PMY_1,7PMY,Solute carrier family 15 member 2,3.8,EM
P11151,6U7M_1,6U7M,Lipoprotein lipase,3.8,EM
O60669,7BP3_1,7BP3,Monocarboxylate transporter 2,3.8,EM
P21306,6CP3_7,6CP3,"ATP synthase subunit epsilon, mitochondrial",3.8,EM
P15391,7JIC_1,7JIC,B-lymphocyte antigen CD19,3.8,EM
P18508,6DW0_1,6DW0,Gamma-aminobutyric acid receptor subunit gamma-2,3.8,EM
P18357,8EXR_1,8EXR,Beta-lactam sensor/signal transducer BlaR1,3.8,EM
Q74D22,6VK9_2,6VK9,Geopilin domain 2 protein,3.8,EM
A0A1S3TUX2,7JRP_19,7JRP,COX7a,3.8,EM
P15431,6DW0_3,6DW0,"Gamma-aminobutyric acid receptor subunit beta-1,Gamma-aminobutyric acid receptor subunit beta-1",3.8,EM
A1CWT6,6D7W_1,6D7W,Mitochondrial calcium uniporter,3.8,EM
Q9SU56,7A24_33,7A24,GLDH,3.8,EM
Q5Y388,7WCO_3,7WCO,Capsid protein,3.8,EM
A0A1S3V319,7JRP_18,7JRP,Cytochrome c oxidase subunit 5C,3.8,EM
G3XDA7,8BH1_3,8BH1,Cell division protein FtsQ,3.8,EM
P41783,6PEP_7,6PEP,Protein PrgH,3.8,EM
P41594,7FD8_1,7FD8,Metabotropic glutamate receptor 5,3.8,EM
G3XD46,8BH1_2,8BH1,"Peptidoglycan D,D-transpeptidase FtsI",3.8,EM
A0A1S3V7C2,7JRP_20,7JRP,COX7c,3.8,EM
B3LH69,7TMT_1,7TMT,H(+)-transporting two-sector ATPase,3.8,EM
C6K2K4,7F57_2,7F57,Neuropilin and tolloid-like protein 2,3.8,EM
D6QZ20,7ZEB_21,7ZEB,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,3.8,EM
A0A1S3UMA0,7JRP_16,7JRP,"cytochrome c oxidase subunit 6a, mitochondrial",3.8,EM
A4WH64,6W8U_1,6W8U,pilin,3.8,EM
A0A1S3TNX9,7JRP_14,7JRP,COX4,3.8,EM
A0A0E7XN74,7B0K_1,7B0K,Drug/metabolite transporter (DMT) superfamily permease,3.8,X-ray
Q96G97,6DS5_1,6DS5,Seipin,3.8,EM
Q91V14,7D14_1,7D14,Solute carrier family 12 member 5,3.8,EM
A0A097PBL3,7DR2_1,7DR2,Photosystem I P700 chlorophyll a apoprotein A1,3.8,EM
Q8IWU4,6XPD_1,6XPD,Zinc transporter 8,3.8,EM
P62813,6DW0_2,6DW0,"Gamma-aminobutyric acid receptor subunit alpha-1,Gamma-aminobutyric acid receptor subunit alpha-1",3.8,EM
P62532,7LHG_3,7LHG,Fimbrial adapter PapK,3.8,EM
P9WNP9,7NPR_3,7NPR,ESX-5 secretion system protein EccD5,3.82,EM
P9WNA5,7NPR_2,7NPR,ESX-5 secretion system protein EccC5,3.82,EM
O53945,7NPR_4,7NPR,Mycosin-5,3.82,EM
Q5JW98,6YTL_1,6YTL,Calcium homeostasis modulator protein 4,3.82,EM
P68806,3HZQ_1,3HZQ,Large-conductance mechanosensitive channel,3.82,X-ray
P9WNQ9,7NPR_1,7NPR,ESX-5 secretion system ATPase EccB5,3.82,EM
Q08749,6LO8_4,6LO8,Mitochondrial import inner membrane translocase subunit TIM18,3.83,EM
P47045,6LO8_2,6LO8,Mitochondrial import inner membrane translocase subunit TIM54,3.83,EM
P33421,6LO8_3,6LO8,"Succinate dehydrogenase [ubiquinone] cytochrome b subunit, mitochondrial",3.83,EM
P32830,6LO8_6,6LO8,Mitochondrial import inner membrane translocase subunit TIM12,3.83,EM
P87108,6LO8_7,6LO8,Mitochondrial import inner membrane translocase subunit TIM10,3.83,EM
O74700,6LO8_5,6LO8,Mitochondrial import inner membrane translocase subunit TIM9,3.83,EM
Q12328,6LO8_1,6LO8,Mitochondrial import inner membrane translocase subunit TIM22,3.83,EM
P77338,7UW5_1,7UW5,Mechanosensitive channel MscK,3.84,EM
A0A2X3II39,7EFO_1,7EFO,Lipopolysaccharide export system ATP-binding protein LptB,3.85,EM
Q9Z218,7W6T_3,7W6T,Dipeptidyl aminopeptidase-like protein 6,3.85,EM
A0A1Y0Q3P9,7EFO_2,7EFO,Lipopolysaccharide export system permease protein LptF,3.85,EM
A0A1Y0Q3C0,7EFO_3,7EFO,LPS export ABC transporter permease LptG,3.85,EM
Q8WWI5,7WWB_1,7WWB,Choline transporter-like protein 1,3.86,EM
M4NKV9,6OQ5_1,6OQ5,Toxin B,3.87,X-ray
O75908,7N6Q_1,7N6Q,Sterol O-acyltransferase 2,3.87,EM
D0MDD4,6F0K_1,6F0K,Cytochrome c family protein,3.87,EM
D0MDD6,6F0K_3,6F0K,Polysulphide reductase NrfD,3.87,EM
D0MDD7,6F0K_4,6F0K,ActD,3.87,EM
D0MDD9,6F0K_6,6F0K,ActF,3.87,EM
Q9LKC7,7EWK_14,7EWK,"Chlorophyll a-b binding protein, chloroplastic",3.88,EM
Q2V2S7,7WG5_41,7WG5,"NAD(P)H-quinone oxidoreductase subunit M, chloroplastic",3.89,EM
Q9CAC5,7WG5_40,7WG5,"NAD(P)H-quinone oxidoreductase subunit L, chloroplastic",3.89,EM
Q9LVM2,7WG5_42,7WG5,"NAD(P)H-quinone oxidoreductase subunit N, chloroplastic",3.89,EM
P56753,7WG5_36,7WG5,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic",3.89,EM
P56754,7WG5_38,7WG5,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic",3.89,EM
P56755,7WG5_37,7WG5,"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic",3.89,EM
P56756,7WG5_39,7WG5,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic",3.89,EM
A0A178WB24,7WG5_43,7WG5,NdhO,3.89,EM
A0A1B1W4Z0,7WG5_22,7WG5,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic",3.89,EM
P09732,4FG0_1,4FG0,Polyprotein,3.899,X-ray
V9JN72,5XTH_34,5XTH,NADH-ubiquinone oxidoreductase chain 4L,3.9,EM
A0A1S3UYW0,6X89_25,6X89,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-A,3.9,EM
A0A1S3UIW7,6X89_11,6X89,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",3.9,EM
P02748,6DLW_1,6DLW,Complement component C9,3.9,EM
A0A1S3TQ85,6X89_8,6X89,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 1, mitochondrial",3.9,EM
Q9Y6R1,6CAA_1,6CAA,Electrogenic sodium bicarbonate cotransporter 1,3.9,EM
A0A1S3TCK0,6X89_23,6X89,uncharacterized protein LOC106754061,3.9,EM
A0A1S3TGE7,6X89_29,6X89,"Protein At2g27730, mitochondrial",3.9,EM
P62815,6VQ6_2,6VQ6,"V-type proton ATPase subunit B, brain isoform",3.9,EM
P62942,7EPD_1,7EPD,"Metabotropic glutamate receptor 2,Peptidylprolyl isomerase",3.9,EM
D3ZIM6,6VQ6_14,6VQ6,Ribonuclease K,3.9,EM
P63081,6VQ6_15,6VQ6,V-type proton ATPase 16 kDa proteolipid subunit,3.9,EM
P01730,6MEO_2,6MEO,T-cell surface glycoprotein CD4,3.9,EM
Q8HAX7,5XTH_36,5XTH,NADH-ubiquinone oxidoreductase chain 6,3.9,EM
P0AB58,7T6D_1,7T6D,Lipopolysaccharide assembly protein B,3.9,EM
P57764,6VFE_1,6VFE,"Gasdermin-D, N-terminal",3.9,EM
P63246,3J7R_83,3J7R,Ribosomal protein RACK1,3.9,EM
F1RAX4,5SY1_2,5SY1,STRA6,3.9,EM
Q84V02,7UWB_11,7UWB,"V-type proton ATPase subunit c""",3.9,EM
A0A4X1TV07,3J7R_47,3J7R,Sec61 alpha subunit,3.9,EM
Q5EB76,6VQ6_13,6VQ6,V-type proton ATPase subunit e 2,3.9,EM
Q03032,6IWW_2,6IWW,Probable oxaloacetate decarboxylase gamma chain,3.9,EM
B2RLE9,7SAT_2,7SAT,Por secretion system protein porL/gldL,3.9,EM
C3TPJ2,7OJF_2,7OJF,Outer membrane protein assembly factor BamA,3.9,EM
P42345,7EPD_2,7EPD,Isoform 3 of Metabotropic glutamate receptor 7,3.9,EM
Q9KX51,3CHX_3,3CHX,PmoC,3.9,X-ray
Q9KX50,3CHX_1,3CHX,PmoB,3.9,X-ray
P50408,6VQ6_6,6VQ6,V-type proton ATPase subunit F,3.9,EM
B9EE38,5XTH_33,5XTH,NADH-ubiquinone oxidoreductase chain 3,3.9,EM
Q5FVI6,6VQ6_3,6VQ6,V-type proton ATPase subunit C 1,3.9,EM
Q4GWZ2,3J7R_51,3J7R,Ribosomal protein uS2,3.9,EM
Q50541,3CHX_2,3CHX,PmoA,3.9,X-ray
P0DH92,7UWB_14,7UWB,V-type proton ATPase subunit c,3.9,EM
H9PGF0,5XTH_41,5XTH,NADH-ubiquinone oxidoreductase chain 1,3.9,EM
A0A1S3VNK7,6X89_7,6X89,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,3.9,EM
A6TIG0,7JSV_1,7JSV,Pilin,3.9,EM
A0A1S3TU57,6X89_22,6X89,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,3.9,EM
A0A1S3TVC7,6X89_2,6X89,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,3.9,EM
Q05787,5V7V_1,5V7V,ERAD-associated E3 ubiquitin-protein ligase component HRD3,3.9,EM
A0A1S3W1K8,6X89_4,6X89,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,3.9,EM
A0A1S3U023,6X89_3,6X89,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5, mitochondrial",3.9,EM
Q6AXS4,6VQ8_16,6VQ8,Renin receptor,3.9,EM
A0A1S3VI15,6X89_31,6X89,NDUX1,3.9,EM
B0K022,6VQ8_10,6VQ8,"ATPase, H+ transporting, V0 subunit B (Predicted), isoform CRA_a",3.9,EM
Q08109,6VK1_1,6VK1,ERAD-associated E3 ubiquitin-protein ligase HRD1,3.9,EM
Q0Z8U2,3J7R_54,3J7R,Ribosomal protein uS3,3.9,EM
Q0P9C4,5NBD_1,5NBD,WlaB protein,3.9,X-ray
Q8ZRY4,6IWW_1,6IWW,Oxaloacetate decarboxylase beta chain,3.9,EM
Q8R2H0,6VQ6_7,6VQ6,V-type proton ATPase subunit G,3.9,EM
V4UBK8,7UWB_9,7UWB,V-type proton ATPase subunit a3,3.9,EM
A0A067F7P5,7UWB_13,7UWB,V-type proton ATPase subunit e1,3.9,EM
P25286,6VQ6_9,6VQ6,V-type proton ATPase 116 kDa subunit a isoform 1,3.9,EM
Q6PCU2,6VQ6_5,6VQ6,V-type proton ATPase subunit E 1,3.9,EM
Q6P503,6VQ8_4,6VQ8,ATPase H+-transporting V1 subunit D,3.9,EM
Q70145,6MEO_1,6MEO,Envelope glycoprotein gp160,3.9,EM
O54715,6VQ6_11,6VQ6,V-type proton ATPase subunit S1,3.9,EM
P24959,6Q9E_3,6Q9E,Cytochrome b,3.9,EM
A0A1S3V7V2,6X89_15,6X89,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",3.9,EM
Q5EGM4,6YS8_2,6YS8,GldL,3.9,EM
Q5EGM3,6YS8_1,6YS8,GldM,3.9,EM
Q08DA1,4XE5_1,4XE5,Sodium/potassium-transporting ATPase subunit alpha-1,3.901,X-ray
G3MWR4,4XE5_2,4XE5,Sodium/potassium-transporting ATPase subunit beta,3.901,X-ray
Q04645,4XE5_3,4XE5,Sodium/potassium-transporting ATPase subunit gamma,3.901,X-ray
A9JTM7,6O84_1,6O84,"LOC100127796 protein,LOC100127796 protein,OTOP3,LOC100127796 protein,LOC100127796 protein",3.92,EM
A0A6I8WFL6,6JBH_1,6JBH,TarH,3.94,EM
A0A6I8WFL7,6JBH_2,6JBH,TarG,3.94,EM
Q9RNX2,4R1I_1,4R1I,Aminobenzoyl-glutamate transporter,3.959,X-ray
Q8BU91,6RTC_1,6RTC,"Solute carrier family 26 member 9,Solute carrier family 26 member 9",3.96,EM
Q03519,5U1D_2,5U1D,Antigen peptide transporter 2,3.97,EM
Q03518,5U1D_1,5U1D,Antigen peptide transporter 1,3.97,EM
A0A0B9X4I2,7MET_1,7MET,ATP-dependent lipid A-core flippase,3.97,EM
A1B8N8,5DN6_4,5DN6,ATP synthase subunit alpha,3.98,X-ray
A1B619,5DN6_12,5DN6,"ATP synthase subunit a,ATP synthase subunit a,ATP synthase subunit a,ATP synthase subunit a",3.98,X-ray
A1B618,5DN6_9,5DN6,ATP synthase F0 subcomplex C subunit,3.98,X-ray
A1B8N7,5DN6_7,5DN6,ATP synthase subunit delta,3.98,X-ray
A1B8N9,5DN6_6,5DN6,ATP synthase gamma chain,3.98,X-ray
A1B8P0,5DN6_5,5DN6,ATP synthase subunit beta,3.98,X-ray
A1B8P1,5DN6_8,5DN6,ATP synthase epsilon chain,3.98,X-ray
Q9H313,7P5J_1,7P5J,Protein tweety homolog 1,4.0,EM
F1SJ34,5GUP_64,5GUP,"Cytochrome c oxidase subunit 5A, mitochondrial",4.0,EM
A0A0B4J1U3,6MID_4,6MID,monoclonal antibody ZIKV-195 light chain,4.0,EM
P0ADC6,6MHU_2,6MHU,Lipopolysaccharide export system permease protein LptG,4.0,EM
P15530,8E4C_3,8E4C,B-cell antigen receptor complex-associated protein beta chain,4.0,EM
Q6LWP3,5Z1L_1,5Z1L,Flagellin,4.0,EM
Q6S3H9,2BG9_4,2BG9,"ACETYLCHOLINE RECEPTOR PROTEIN, GAMMA CHAIN",4.0,EM
Q1HBG9,5GUP_47,5GUP,Cytochrome b,4.0,EM
P29066,6U1N_2,6U1N,Beta-arrestin-1,4.0,EM
P28327,7MTB_1,7MTB,Rhodopsin kinase GRK1,4.0,EM
F1SDI2,5GUP_54,5GUP,Cytochrome b-c1 complex subunit 10,4.0,EM
I6UQN5,6U8Y_1,6U8Y,Monovalent cation/H+ antiporter subunit E,4.0,EM
I6V2A1,6U8Y_12,6U8Y,NADH dehydrogenase subunit,4.0,EM
I6UZW2,6U8Y_2,6U8Y,Monovalent cation/H+ antiporter subunit F,4.0,EM
V5YUQ0,7AJQ_2,7AJQ,Biopolymer transport protein ExbD,4.0,EM
A8AAA0,5KYH_1,5KYH,Iho670,4.0,EM
Q14831,7EPC_1,7EPC,Isoform 3 of Metabotropic glutamate receptor 7,4.0,EM
Q14833,7E9H_1,7E9H,Metabotropic glutamate receptor 4,4.0,EM
G8IFA6,5GUP_10,5GUP,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",4.0,EM
A0PK00,7F73_1,7F73,"MCherry fluorescent protein,Transmembrane protein 120B",4.0,EM
I6U860,6U8Y_5,6U8Y,Monovalent cation/H+ antiporter subunit B,4.0,EM
P11911,8E4C_2,8E4C,"B-cell antigen receptor complex-associated protein alpha chain,Yellow fluorescent protein",4.0,EM
I6V2A4,6U8Y_4,6U8Y,DUF4040 domain-containing protein,4.0,EM
Q6S3I0,2BG9_2,2BG9,"ACETYLCHOLINE RECEPTOR PROTEIN, BETA CHAIN",4.0,EM
Q6S3H8,2BG9_3,2BG9,"ACETYLCHOLINE RECEPTOR PROTEIN, DELTA CHAIN",4.0,EM
I6U853,6U8Y_13,6U8Y,NADH dehydrogenase subunit I,4.0,EM
Q9V3X4,6MLU_1,6MLU,Seipin,4.0,EM
V9HW68,6U1N_3,6U1N,Fab30 heavy chain,4.0,EM
F1SKM0,5GUP_45,5GUP,"Cytochrome b-c1 complex subunit 1, mitochondrial",4.0,EM
F1SL07,5GUP_12,5GUP,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",4.0,EM
F1S3W0,5GUP_51,5GUP,"Cytochrome b-c1 complex subunit 6, mitochondrial",4.0,EM
F2DMH9,8DQK_1,8DQK,Cellulose synthase-like CslF6,4.0,EM
I6TXQ5,6U8Y_3,6U8Y,Monovalent cation/H+ antiporter subunit G,4.0,EM
I6TXQ1,6U8Y_8,6U8Y,NADH dehydrogenase subunit M,4.0,EM
A0A1L3MZ94,5XSY_2,5XSY,Voltage-gated sodium channel beta subunit 1,4.0,EM
P0AF98,6MHU_1,6MHU,Lipopolysaccharide export system permease protein LptF,4.0,EM
P0A9V1,6MHU_3,6MHU,Lipopolysaccharide export system ATP-binding protein LptB,4.0,EM
F1RRC9,5GUP_30,5GUP,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",4.0,EM
A0A4X1UYT9,5GUP_50,5GUP,Cytochrome b-c1 complex subunit 8,4.0,EM
A0A4X1UIV8,5GUP_26,5GUP,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,4.0,EM
F1RNZ1,5GUP_55,5GUP,"Cytochrome b-c1 complex subunit Rieske transit peptide, mitochondrial",4.0,EM
P01872,8E4C_1,8E4C,Isoform 2 of Immunoglobulin heavy constant mu,4.0,EM
A0A4X1VBN1,5GUP_24,5GUP,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,4.0,EM
D0FY02,7PIW_8,7PIW,Photosystem II reaction center protein H,4.0,EM
D0FXW2,7PIW_10,7PIW,Photosystem II reaction center protein J,4.0,EM
D0FXW8,7PIW_5,7PIW,Photosystem II D2 protein,4.0,EM
P02719,5XSY_1,5XSY,Sodium channel protein,4.0,EM
P02711,2BG9_1,2BG9,"ACETYLCHOLINE RECEPTOR PROTEIN, ALPHA CHAIN",4.0,EM
Q2EN79,5GUP_52,5GUP,Cytochrome b-c1 complex subunit 9,4.0,EM
D3VB22,6GY6_1,6GY6,XaxA,4.0,EM
I6UQN0,6U8Y_6,6U8Y,Monovalent cation/H+ antiporter subunit C,4.0,EM
I6UZV7,6U8Y_7,6U8Y,NADH dehydrogenase subunit N,4.0,EM
Q9DBV4,6NK6_1,6NK6,Matrix remodeling-associated protein 8,4.06,EM
Q13224,7EU8_2,7EU8,"Glutamate receptor ionotropic, NMDA 2B",4.07,EM
A0A1B0GVW0,7UNF_15,7UNF,ATPase H(+)-transporting lysosomal accessory protein 2,4.08,EM
Q9HBG4,7UNF_1,7UNF,V-type proton ATPase 116 kDa subunit a 4,4.08,EM
P63211,7L0P_5,7L0P,Guanine nucleotide-binding protein G(T) subunit gamma-T1,4.1,EM
Q83XD0,5YQ7_7,5YQ7,Precursor for M subunits of photosynthetic reaction center,4.1,EM
Q83XD1,5YQ7_4,5YQ7,Alpha subunit of light-harvesting 1,4.1,EM
P63097,6K42_1,6K42,Guanine nucleotide-binding protein G(i) subunit alpha-1,4.1,EM
Q83XC9,5YQ7_3,5YQ7,Cytochrome subunit of photosynthetic reaction center,4.1,EM
M9UD72,6NAV_1,6NAV,M9UD72,4.1,EM
P26562,6HJQ_2,6HJQ,Hemagglutinin,4.1,EM
O15537,3JD6_1,3JD6,Retinoschisin,4.1,EM
U3JD03,6BPQ_1,6BPQ,Transient receptor potential cation channel subfamily M member 8,4.1,EM
Q83XD2,5YQ7_1,5YQ7,Beta subunit of light-harvesting 1,4.1,EM
G1SGD4,5VAI_1,5VAI,Uncharacterized protein,4.1,EM
P38307,6VK0_2,6VK0,Degradation in the endoplasmic reticulum protein 1,4.1,EM
A3MU74,8DFT_1,8DFT,Pilin protein,4.1,EM
Q03714,6VK0_1,6VK0,U1 SNP1-associating protein 1,4.1,EM
Q8VYR7,5L25_1,5L25,Boron transporter 1,4.11,X-ray
P0AA25,6GDG_1,6GDG,"TrxA,Adenosine receptor A2a",4.11,EM
Q9Y639,6A69_2,6A69,Neuroplastin,4.11,EM
P20020,6A69_1,6A69,Plasma membrane calcium-transporting ATPase 1,4.11,EM
E8QGV2,4HW9_1,4HW9,Mechanosensitive channel MscS,4.14,X-ray
Q8ILA1,6E10_3,6E10,Translocon component PTEX150,4.16,EM
Q8IIJ8,6E10_1,6E10,Heat shock protein 101,4.16,EM
Q8IKC8,6E10_2,6E10,Exported protein 2,4.16,EM
P64423,5N9Y_1,5N9Y,Zinc transport protein ZntB,4.2,EM
O88602,5WEO_1,5WEO,"Glutamate receptor 2,Voltage-dependent calcium channel gamma-2 subunit chimera",4.2,EM
P43007,7P4I_1,7P4I,Neutral amino acid transporter A,4.2,EM
Q9NYK1,7CYN_1,7CYN,Toll-like receptor 7,4.2,EM
P30990,6UP7_1,6UP7,ARG-ARG-PRO-TYR-ILE-LEU,4.2,EM
P49069,6SO5_3,6SO5,Calcium signal-modulating cyclophilin ligand,4.2,EM
Q8VGC3,3JBR_2,3JBR,Voltage-dependent L-type calcium channel subunit beta-2,4.2,EM
A0A0B4ZYM1,5O4U_1,5O4U,Flagellin,4.2,EM
O00258,6SO5_2,6SO5,Tail-anchored protein insertion receptor WRB,4.2,EM
P0ADV9,6MI7_4,6MI7,Lipopolysaccharide export system protein LptC,4.2,EM
Q837P5,7OCY_1,7OCY,ABC transporter ATP-binding protein,4.25,EM
Q837P4,7OCY_2,7OCY,ABC transporter ATP-binding protein,4.25,EM
A0A923J0P9,7ZC6_1,7ZC6,RnfA,4.27,EM
A0A923E755,7ZC6_2,7ZC6,RnfB,4.27,EM
A0A923J084,7ZC6_6,7ZC6,RnfG,4.27,EM
A0A923IZ11,7ZC6_3,7ZC6,RnfC,4.27,EM
A0A923IZB8,7ZC6_5,7ZC6,RnfE,4.27,EM
A0A923IYK2,7ZC6_4,7ZC6,RnfD,4.27,EM
P34750,6VE3_1,6VE3,Fimbrial assembly protein PilQ,4.3,EM
A0A0H3GIG3,6HCG_1,6HCG,Type II secretion system protein D,4.3,EM
O14775,7EWP_3,7EWP,Guanine nucleotide-binding protein subunit beta-5,4.3,EM
Q9I7A7,6VE2_2,6VE2,LysM domain-containing protein,4.3,EM
P63252,7ZDZ_1,7ZDZ,Inward rectifier potassium channel 2,4.3,EM
A0A0H3GMS7,6HCG_3,6HCG,Pectic enzymes secretion protein OutC,4.3,EM
Q7L1W4,6M04_1,6M04,Volume-regulated anion channel subunit LRRC8D,4.36,EM
C4T9I0,5IV9_1,5IV9,LPS-assembly protein LptD,4.369,X-ray
A0A0J4W1Y0,5IV9_2,5IV9,LPS-assembly lipoprotein LptE,4.369,X-ray
Q5R3K3,6YTV_1,6YTV,Calcium homeostasis modulator protein 6,4.39,EM
D3Z7H4,5WEL_1,5WEL,"Chimera of Glutamate receptor 2, Germ cell-specific gene 1-like protein",4.4,EM
A0A0P0CE34,7LIH_2,7LIH,E1 protein,4.4,EM
Q9XSW5,8D9N_1,8D9N,Anion exchange protein,4.4,EM
A0A0P0BWJ4,7LIH_3,7LIH,E2 protein,4.4,EM
Q8QZ72,7LIH_1,7LIH,Capsid protein,4.4,EM
P21825,7AFT_7,7AFT,"Translocation protein SEC62,Translocation protein SEC62",4.4,EM
Q13530,7RU6_1,7RU6,Serine incorporator 3,4.4,EM
E2QH56,6NZI_1,6NZI,Efflux pump membrane transporter,4.44,X-ray
Q99PJ1,6C14_1,6C14,Protocadherin-15,4.5,EM
S4YZ47,7F9O_3,7F9O,Photosystem I iron-sulfur center,4.5,EM
S4Z8N2,7F9O_19,7F9O,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic",4.5,EM
A0A218LNN1,7F9O_24,7F9O,"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic",4.5,EM
P9WP45,8HCR_7,8HCR,Cytochrome c oxidase polypeptide 4,4.5,EM
P9WP71,8HCR_5,8HCR,Probable cytochrome c oxidase subunit 1,4.5,EM
P9WP69,8HCR_4,8HCR,CYTOCHROME AA3 SUBUNIT CtaC,4.5,EM
I6YDH3,8HCR_8,8HCR,CYTOCHROME AA3 SUBUNIT CtaJ,4.5,EM
P9WP67,8HCR_6,8HCR,Probable cytochrome c oxidase subunit 3,4.5,EM
Q9X1I9,3DIN_2,3DIN,Preprotein translocase subunit SecY,4.5,X-ray
B7ZSK1,5UOW_2,5UOW,N-methyl-D-aspartate receptor subunit NR2A,4.5,EM
